Informazioni cronologiche,Di che paese sei?,Come dici ciabatta?
29/03/2023 12.01.21,Pontirolo Nuovo,sibra
29/03/2023 12.01.36,Bonate Sotto,sibra
29/03/2023 12.01.58,Fontanella,sibra
29/03/2023 12.02.00,Cerete,sébra
29/03/2023 12.02.04,Bonate Sotto,sébra
29/03/2023 12.02.07,Presezzo,sibra
29/03/2023 12.02.29,Parre,sébra
29/03/2023 12.02.40,Cavernago,söbra
29/03/2023 12.02.42,Cologno al Serio,sibra
29/03/2023 12.02.47,Parre,sébra
29/03/2023 12.02.49,Treviglio,sibra
29/03/2023 12.02.54,San Paolo d'Argon,sibra
29/03/2023 12.03.10,Paladina,sébra
29/03/2023 12.03.14,Albino,sébra
29/03/2023 12.03.17,Levate,sibra
29/03/2023 12.03.18,Treviolo,sibra
29/03/2023 12.03.26,Presezzo,sibra
29/03/2023 12.03.27,Madone,sébra
29/03/2023 12.03.51,San Giovanni Bianco,sibra
29/03/2023 12.03.57,Ambivere,sibra
29/03/2023 12.04.02,Azzano San Paolo,sibra
29/03/2023 12.04.11,Premolo,sébra
29/03/2023 12.04.12,San Pellegrino Terme,sibra
29/03/2023 12.04.17,Verdellino,sibra
29/03/2023 12.04.31,San Pellegrino Terme,sibra
29/03/2023 12.04.39,Scanzorosciate,sibra
29/03/2023 12.04.41,Fontanella,saàta
29/03/2023 12.04.45,Calusco d'Adda,sébra
29/03/2023 12.05.11,Spirano,sibra
29/03/2023 12.05.34,Calusco d'Adda,sébra
29/03/2023 12.05.36,Almenno San Bartolomeo,sibra
29/03/2023 12.05.43,Fara Gera d'Adda,saàta
29/03/2023 12.06.00,Torre Pallavicina,sibra
29/03/2023 12.06.11,Grumello del Monte,söbra
29/03/2023 12.06.15,Carvico,sébra
29/03/2023 12.06.34,Treviolo,sibra
29/03/2023 12.06.35,Ponte San Pietro,sibra
29/03/2023 12.06.38,Comun Nuovo,sibra
29/03/2023 12.06.43,Serina,sibra
29/03/2023 12.07.00,Peia,söbra
29/03/2023 12.07.03,Val Brembilla,Zibra perché siamo di Brembilla
29/03/2023 12.07.05,Bolgare,söbra
29/03/2023 12.07.22,Seriate,sibra
29/03/2023 12.07.23,Oltre il Colle,sébra
29/03/2023 12.07.23,Mozzo,sibra
29/03/2023 12.07.23,Villa d'Almè,sibra
29/03/2023 12.07.44,Capriate San Gervasio,sébra
29/03/2023 12.07.52,Urgnano,sibra
29/03/2023 12.07.58,Comun Nuovo,sibra
29/03/2023 12.08.00,Carvico,sébra
29/03/2023 12.08.08,Predore,sibra
29/03/2023 12.08.40,Gandino,söbra
29/03/2023 12.08.49,Bonate Sopra,sibra
29/03/2023 12.08.50,Mapello,sibra
29/03/2023 12.09.02,Predore,Sapáta
29/03/2023 12.09.03,Roncola,sibra
29/03/2023 12.09.07,Val Brembilla,Zibra
29/03/2023 12.09.12,Fornovo San Giovanni,sébra
29/03/2023 12.09.13,Terno d'Isola,Sia sébra che sibra
29/03/2023 12.09.21,Barzana,sébra
29/03/2023 12.09.46,Sarnico,saàta
29/03/2023 12.09.49,Chignolo d'Isola,sébra
29/03/2023 12.10.17,Capriate San Gervasio,sibra
29/03/2023 12.10.26,Pontida,sébra
29/03/2023 12.10.36,Mozzo,sébra
29/03/2023 12.10.52,Caravaggio,sébra
29/03/2023 12.11.06,Nembro,sibra
29/03/2023 12.11.22,Madone,Sibrèta
29/03/2023 12.11.29,Boltiere,saàta
29/03/2023 12.11.29,Albano Sant'Alessandro,sibra
29/03/2023 12.11.43,Bergamo,sibra
29/03/2023 12.11.44,Bergamo,sibra
29/03/2023 12.11.56,Sorisole,sibra
29/03/2023 12.12.01,Entratico,söbra
29/03/2023 12.12.10,Mapello,sibra
29/03/2023 12.12.21,Bergamo,saàta
29/03/2023 12.12.38,Gorle,sibra
29/03/2023 12.12.38,Spirano,sibra
29/03/2023 12.13.06,Filago,sébra
29/03/2023 12.13.07,Bonate Sopra,sébra
29/03/2023 12.13.21,Bergamo,sibra
29/03/2023 12.13.28,Ranica,sibra
29/03/2023 12.13.30,Lallio,sibra
29/03/2023 12.13.31,Clusone,saàta
29/03/2023 12.13.34,Ranzanico,söbra
29/03/2023 12.13.35,Lallio,sibra
29/03/2023 12.13.46,Lallio,sibra
29/03/2023 12.13.56,Medolago,sébra
29/03/2023 12.14.19,Cene,sébra
29/03/2023 12.14.47,Cividate al Piano,sapata
29/03/2023 12.14.59,Algua,sibra
29/03/2023 12.15.05,Treviolo,sibra
29/03/2023 12.15.10,Albino,saàta
29/03/2023 12.15.20,Alzano Lombardo,sibra
29/03/2023 12.15.24,Albano Sant'Alessandro,sébra
29/03/2023 12.15.24,Osio Sopra,sibra
29/03/2023 12.15.39,Villa di Serio,sibra
29/03/2023 12.15.43,Almenno San Salvatore,sibra
29/03/2023 12.16.19,Ponteranica,sibra
29/03/2023 12.16.25,Mornico al Serio,söbra
29/03/2023 12.16.26,Bonate Sopra,sébra
29/03/2023 12.16.29,Mornico al Serio,söbra
29/03/2023 12.16.57,Fiorano al Serio,söbra
29/03/2023 12.17.29,Cologno al Serio,sibra
29/03/2023 12.17.57,Castione della Presolana,saàta
29/03/2023 12.18.07,Albino,sébra
29/03/2023 12.18.10,Levate,sibra
29/03/2023 12.18.16,Medolago,sébra
29/03/2023 12.18.19,Borgo di Terzo,sibra
29/03/2023 12.18.25,Seriate,sibra
29/03/2023 12.18.29,Zogno,sibra
29/03/2023 12.18.38,Capriate San Gervasio,sibra
29/03/2023 12.18.41,Cortenuova,sibra
29/03/2023 12.18.47,Castel Rozzone,sébra
29/03/2023 12.18.47,San Giovanni Bianco,sibra
29/03/2023 12.18.58,Vilminore di Scalve,sibra
29/03/2023 12.19.11,Ponte San Pietro,saàta
29/03/2023 12.19.14,Sant'Omobono Terme,sibra
29/03/2023 12.19.16,Bonate Sotto,sébra
29/03/2023 12.19.41,Spirano,sibra
29/03/2023 12.19.48,Casirate d'Adda,saàta
29/03/2023 12.19.53,Covo,Síbra 
29/03/2023 12.20.07,Zanica,sibra
